egg, cake, eggnog, mayo, mayonnaise
fish, salmon, anchovy, anchovies, haddock, mahi mahi, tilapia, tuna
dairy, milk, butter, cheese, cream, pudding, yogurt
peanut, ground nuts, mixed nuts
shellfish, crab, lobster, crayfish, shrimp, mussel, oyster, clam
soy, miso, soya, tofu
treenut, almond, cashew, coconut, macadamia, pecan, pistachio, walnut
wheat, pasta
meat, beef, chicken, pork, bacon, ham, veal, sausage, sirloin, steak, ribs, wings
